Residual,N_outliers,Pct_outliers,P_value_full,P_value_no_outliers,Conclusion_stable
HOMA_IR,3,2.586206896551724,6.643269259999655e-05,0.00022452101524523415,True
LAR,2,1.7241379310344827,0.4999931330801648,0.4692177118311147,True
Resistin_Adiponectin,2,1.7241379310344827,0.0037906370880999756,0.007561747902470463,True
MCP1_Adiponectin,2,1.7241379310344827,0.37292546543476157,0.537057818829968,True
Leptin_BMI,2,1.7241379310344827,0.24707783270729833,0.22263497494418472,True
Glucose_Insulin,1,0.8620689655172413,0.12343220024615276,0.08810366119908507,True
